"scheme_id","unit_id","objective","question_number"
"S7","N2","Recall simple FDP conversions e.g. 0.5, 0.75, 0.25, 0.1",
"S7","N2","Convert between fractions, decimals and percentages",
"S7","N2","Find equivalent fractions",
"S7","N2","Write a set of fractions in order of size",
"S7","N2","Add and subtract fractions",
"S7","N2","Calculate a percentage of an amount without a calculator",
"S7","N2","Calculate percentage increase and decrease",
"S7","N2","Find a fraction of an amount",
"S7","A2","Complete a mapping diagram",
"S7","A2","Find the input of a mapping diagram when given the output",
"S7","A2","Identify the term to term rule of a sequence",
"S7","A2","Continue a sequence using the term to term rule",
"S7","A2","Work out the nth term rule of a sequence",
"S7","A2","Use the nth term rule to calculate any term of a sequence",
"S7","A2","Solve problems involving sequences",
"S7","N1","Use written methods to multiply numbers with up to 3 digits",
"S7","N1","Use written methods to divide a large number by a single digit",
"S7","N1","Add and subtract negative numbers",
"S7","N1","Multiply and divide negative numbers",
"S7","N1","Order decimals from smallest to largest",
"S7","N1","Complete the four operations with decimals",
"S7","N1","Multiply and divide by powers of 10",
"S7","N1","Describe what is meant by the terms factor and multiple",
"S7","N1","List factors and multiples of a number",
"S7","N1","Find the HCF and LCM of two or more numbers",
"S7","N1","Describe what is meant by a prime number",
"S7","N1","Find the square and square root of a number",
"S7","N1","Find the cube and cube root of a number",
"S7","GM3","Reflect a shape  in an axis",
"S7","GM3","Reflect a shape in any line",
"S7","GM3","Rotate a shape around the origin",
"S7","GM3","Rotate a shape around any point",
"S7","GM3","Translate a shape by a description",
"S7","GM3","Translate a shape by a vector ",
"S7","GM3","Perform combinations of rotation, reflection and translation",
"S7","GM3","Describe a single transformation",
"S7","GM3","Identify when shapes are congruent ",
"S7","GM1","Use a ruler to accurately measure or draw a line",
"S7","GM1","Calculate the area of a rectangle and state the units",
"S7","GM1","Calculate the area of a triangle, and parallelogram",
"S7","GM1","Calculate the  perimeter of a rectangle and state the units",
"S7","GM1","Find the length of missing sides in compound shapes",
"S7","GM1","Calculate the area and perimeter of a compound shape ",
"S7","GM1","Convert between metric measurements",
"S7","A1","Describe the basic rules of algebra, including a x a = a2, ab means a x b and 7a means 7 lots of a",
"S7","A1","Understand that a x a x a x a x a = a5 and can use index notation to simplify algebra",
"S7","A1","Describe what is meant by a like term",
"S7","A1","Simplify algebra by collecting like terms ",
"S7","A1","Substitute values into an expression",
"S7","A1","Expand a single bracket ",
"S7","A1","Apply the order of operations to a calculation correctly",
"S7","A1","Write an expression to describe a simple scenario",
"C9","S2","Understand that a probability can be written as a fraction, decimal or percentage",
"C9","S2","Calculate a simple probability",
"C9","S2","Understand what is meant by mutually exclusive and can give an example of two mutually exclusive events",
"C9","S2","Understand the difference between experimental and theoretical probability",
"C9","S2","Decide whether two events are independent",
"C9","S2","Calculate the probability that two events will occur",
"C9","S2","Draw a tree diagram to represent a problem with independent probabilities ",
"C9","S2","Use tree diagrams to solve problems ",
"C9","GM5","Draw and interpret a distance time graph",
"C9","GM5","Calculate the speed from a distance time graph",
"C9","GM5","Draw a graph based on a real life situation",
"C9","GM5","Give possible explanations for the shape of a graph",
"C9","GM5","Convert simple decimals into amounts of minutes",
"C9","GM5","Solve simple problems involving speed, distance and time",
"C9","GM5","Interpret the gradient of a graph",
"C9","GM5","Explain why extrapolation isn't always accurate",
"C9","GM5","Use a conversion graph",
"C9","N4","Find a percentage of an amount with and without a calculator",
"C9","N4","Increase and decrease percentages with and without a calculator",
"C9","N4","Write a quantity as a percentage of another",
"C9","N4","Calculate percentage change",
"C9","N4","Find an original amount (reverse percentage)",
"C9","N4","Write and simplify ratios",
"C9","N4","Split a quantity into a ratio",
"C9","N4","Solve problems involving ratios",
"C9","N4","Understand the difference between direct and indirect proportion",
"C9","N4","Solve problems with direct and inverse proportion including best buys",
"C9","N4","Convert between currencies",
"C9","GM4","Understand what a locus is and can draw the loci for different situations",
"C9","GM4","Solve problems with loci",
"C9","GM4","Describe the difference between volume and surface area",
"C9","GM4","Identify nets of cuboids",
"C9","GM4","Calculate the surface area of a cuboid",
"C9","GM4","Calculate the surface area of a prism",
"C9","GM4","Calculate the volume of a cuboid",
"C9","GM4","Calculate the volume of a prism",
"C9","GM4","Find the volume of a cylinder",
"C9","GM4","Solve volume and surface area problems in context",
"C9","GM4","Understand when two shapes are congruent and when they are similar",
"C9","A4","Plot co-ordinates in all four quadrants",
"C9","A4","Describe what makes a function linear",
"C9","A4","Complete a mapping diagram",
"C9","A4","Draw a linear graph",
"C9","A4","Draw special graphs such as y=5, x= -3 and y=x",
"C9","A4","Describe what gradient is and calculate the gradient of a line",
"C9","A4","State the gradient and y intercept of a line given its equation",
"C9","A4","Write the equation of a line given its graph",
"C9","A4","Draw graphs of functions in the form ax + by = c",
"C9","A4","Write the equations of two lines which will be parallel to one another",
"C9","A4","Solve simultaneous equations graphically",
"C9","A3","Understand that a letter in maths represents a variable",
"C9","A3","Identify and apply simple algebra rules",
"C9","A3","Substitute values into a formula",
"C9","A3","Identify the term to term rule of a sequence",
"C9","A3","Continue a sequence using the term to term rule",
"C9","A3","Work out the nth term rule of a sequence",
"C9","A3","Use the nth term rule to calculate any term of a sequence",
"C9","A3","Solve problems involving sequences",
"C9","A3","Identify when a sequence is arithmetic, geometric and quadratic",
"C9","S1","Describe the difference between qualitative and quantitative data",
"C9","S1","Analyse questions in a survey",
"C9","S1","Write an appropriate question for a survey",
"C9","S1","Understand what sampling is and when it can be biased",
"C9","S1","Draw and interpret a scatter graph",
"C9","S1","Calculate the mean, median, mode and range, choose which is the most appropriate and solve problems involving averages",
"C9","S1","Calculate the mean from a frequency table and a grouped frequency table",
"C9","S1","Draw a frequency polygon",
"C9","S1","Construct a stem and leaf diagram",
"C9","S1","Calculate angles and construct a pie chart",
"C9","S1","Choose which type of representation of data is most appropriate",
"C9","N3","Use a calculator effectively",
"C9","N3","Use the SD button",
"C9","N3","Use the ANS button",
"C9","N3","Use square root, square, cube, powers, fractions on the calculator",
"C9","GM2","Use and interpret a scale",
"C9","GM2","Identify lines of symmetry and planes of symmetry",
"C9","GM2","Describe the order of rotational symmetry of a shape",
"C9","GM2","Describe what congruent means and identify congruent shapes",
